route_long_name,route_type,route_text_color,route_color,agency_id,route_id,route_url,route_desc,route_short_name
Teal Late Night Saturday,3,ffffff,006991,CUMTD,TEAL LATE NIGHT SATURDAY,,,120
Grey Evening Saturday,3,000000,808285,CUMTD,GREY EVENING SATURDAY,,,70
Green Evening Saturday,3,ffffff,008063,CUMTD,GREEN EVENING SATURDAY,,,50
Lavender Saturday,3,000000,a78bc0,CUMTD,LAVENDER SATURDAY,,,30
Yellow Hopper,3,000000,fcee1f,CUMTD,YELLOWHOPPER,,,1
Raven,3,ffffff,000000,CUMTD,RAVEN,,,21
Grey,3,000000,808285,CUMTD,GREY,,,7
Teal Evening Saturday,3,ffffff,006991,CUMTD,TEAL EVENING SATURDAY,,,120
Grey Evening,3,000000,808285,CUMTD,GREY EVENING,,,70
Lime Evening,3,000000,b2d235,CUMTD,LIME EVENING,,,180
Lavender Alternate,3,000000,a78bc0,CUMTD,LAVENDER ALT,,,3
Brown Alternate,3,ffffff,825622,CUMTD,BROWN ALT1,,,9
Green Late Night,3,ffffff,008063,CUMTD,GREEN LATE NIGHT,,,50
Navy,3,ffffff,2b3088,CUMTD,NAVY,,,14
Silver,3,000000,cccccc,CUMTD,SILVER,,,13
Silver Saturday,3,000000,cccccc,CUMTD,SILVER SATURDAY,,,130
Green Hopper Evening Saturday,3,ffffff,008063,CUMTD,GREENHOPPER EVENING SATURDAY,,,50
Grey W Alternate,3,000000,808285,CUMTD,7W GREY ALT,,,7
Green Express Alternate,3,ffffff,008063,CUMTD,5E GREEN EXPRESS ALT,,,5
Yellow Alternate PM,3,000000,fcee1f,CUMTD,1N YELLOW ALT PM,,,1
Yellow Saturday,3,000000,fcee1f,CUMTD,YELLOW SATURDAY,,,100
Silver Limited Sunday,3,000000,cccccc,CUMTD,SILVER LIMITED SUNDAY,,,130
Ruby Sunday,3,000000,eb008b,CUMTD,RUBY SUNDAY,,,110
Illini Limited,3,ffffff,5a1d5a,CUMTD,ILLINI LIMITED,,,22
Silver Limited Evening Saturday,3,000000,cccccc,CUMTD,SILVER LIMITED EVENING SATURDAY,,,130
Silver Late Night,3,000000,cccccc,CUMTD,SILVER LATE NIGHT,,,130
Green Late Night Sunday,3,ffffff,008063,CUMTD,GREEN LATE NIGHT SUNDAY,,,50
Yellow Sunday,3,000000,fcee1f,CUMTD,YELLOW SUNDAY,,,100
Gold 1 Alternate,3,000000,c7994a,CUMTD,GOLD ALT,,,10
Grey E Alternate,3,000000,808285,CUMTD,7E GREY ALT,,,7
Yellow Evening,3,000000,fcee1f,CUMTD,YELLOW EVENING,,,100
Ruby Evening Saturday,3,000000,eb008b,CUMTD,RUBY EVENING SATURDAY,,,110
Lime Sunday,3,000000,b2d235,CUMTD,LIME SUNDAY,,,180
Brown Alternate PM,3,ffffff,825622,CUMTD,BROWN ALT PM,,,9
Yellow Evening Saturday,3,000000,fcee1f,CUMTD,YELLOW EVENING SATURDAY,,,100
Lime Evening Saturday,3,000000,b2d235,CUMTD,LIME EVENING SATURDAY,,,180
Green Express,3,ffffff,008063,CUMTD,GREEN EXPRESS,,,5
Bronze,3,000000,9e8966,CUMTD,BRONZE,,,8
Ruby Saturday,3,000000,eb008b,CUMTD,RUBY SATURDAY,,,110
Bronze Yankee Ridge,3,000000,9e8966,CUMTD,BRONZE YANKEE RIDGE,,,8
Green Express 2 Alternate,3,ffffff,008063,CUMTD,GREEN EXPRESS ALT,,,5
